id	name	birthDate	deathDate	role	movies
nm2457741	Paul Duncan	\N	\N	animation_department,art_department,art_director	tt0389790,tt0481499,tt6324278,tt0138749
nm2465709	Lisa Simpson	\N	\N	sound_department	tt1402488,tt3014284,tt4116284,tt1219342
nm2470439	Peter Truss	\N	\N	production_manager,miscellaneous,editorial_department	tt0462538,tt1817232,tt5531466,tt8050740
nm2471112	Zain Effendi	\N	\N	composer,music_department,miscellaneous	tt0468569,tt0441773,tt0449088,tt0462538
nm2473972	Domingo Rivera	\N	2018	animation_department	tt0165982,tt0129167,tt0462538,tt0230011
nm2480236	Michelle Jeanpierre	\N	\N	stunts,actress	tt0491738,tt1259521,tt0362120,tt0118480
nm2480776	Ishani Bhoola	\N	\N	music_department	tt0480249,tt0473298,tt0462538,tt0454848
nm2483667	Lucas Gray	\N	\N	animation_department,art_department,director	tt8910922,tt5905038,tt0462538,tt2861424
nm2485076	Dionisio Greco	\N	\N	visual_effects	tt0447680,tt0418110,tt0491720,tt0362120
nm2489522	Jacob Esquivel	\N	\N	miscellaneous,camera_department,producer	tt2450186,tt1490017,tt4586114,tt2635006
nm2489863	Christine Deitner	\N	\N	production_manager,miscellaneous,producer	tt3272126,tt1514076,tt0462538,tt8115900
nm2490826	Ted F. Gerdes	\N	\N	miscellaneous,legal	tt1727381,tt1333125,tt1461432,tt0426883
nm2493518	Alex Lee	\N	\N	animation_department,art_department,art_director	tt0462538,tt2861424,tt8910922,tt0149460
nm2495227	Jonathan Gebhart	1970	\N	art_department,animation_department,assistant_director	tt0096697,tt0251714,tt0182576,tt0462538
nm2496538	Peter Hixson	\N	\N	animation_department,assistant_director,writer	tt0400738,tt0108684,tt0338464,tt0462538
nm2496765	Nam Suk Cho	\N	\N	animation_department,art_department	tt0462538,tt2861424,tt0149460,tt1449283
nm2500476	Daimon Shippen	\N	\N	camera_department,assistant_director,production_designer	tt1333125,tt0926132,tt0499493,tt1552189
nm2501431	Rick Salonga	\N	\N	animation_department,art_department	tt0462538,tt0118298,tt0096697,tt0208614
nm2502488	Eli Weiss	\N	\N	costume_department	tt0892318,tt1333125,tt1049402,tt1103275
nm2509902	Scott MacArthur	1979	\N	actor,writer,director	tt5638056,tt9243946,tt8634332,tt14129378
nm2511956	Doug Nicholas	\N	\N	visual_effects,actor,editorial_department	tt1375666,tt1490017,tt4116284,tt3014284
nm2516582	Anne Globe	1963	\N	miscellaneous	tt0389790
nm2518831	Christian Diaz De Bedoya	\N	\N	location_management,sound_department,miscellaneous	tt2378507,tt9243946,tt0438488,tt1411250
nm2521482	Tasmin Little	\N	\N	soundtrack	tt4643084,tt0117093,tt1333125,tt3791302
nm2525675	Esther H. Lee	\N	\N	animation_department,editorial_department,miscellaneous	tt0462538,tt0096697,tt0182576,tt0197148
